Site,Lat,Lon,Mean |U| (V),P95 |U| (V),Frac >1kV,Mean Power (mW/m^2),Assessment
Apollo 11,0.67,23.47,771.3,1519.3,0.32,49087.33,High Resource
Apollo 16,-8.97,15.5,849.8,1638.5,0.45,54079.27,High Resource
Tycho,-43.3,-11.2,726.1,1196.5,0.32,46208.88,High Resource
Aristarchus,23.7,-47.4,773.9,1532.5,0.29,49253.28,High Resource
South Pole,-90.0,0.0,1359.3,1522.3,1.00,86503.46,High Resource
Reiner Gamma,7.5,-59.0,802.0,1901.5,0.35,51040.37,High Resource
