Site,Lat,Lon,Mean |U| (V),P95 |U| (V),Frac >1kV,Mean Power (mW/m^2),Assessment
Apollo 11,0.67,23.47,537.0,1205.3,0.16,34171.56,High Resource
Apollo 16,-8.97,15.5,702.4,1703.4,0.29,44699.26,High Resource
Tycho,-43.3,-11.2,750.5,1575.6,0.29,47762.66,High Resource
Aristarchus,23.7,-47.4,630.9,1847.0,0.16,40151.36,High Resource
South Pole,-90.0,0.0,1272.9,1681.2,1.00,81006.77,High Resource
Reiner Gamma,7.5,-59.0,727.5,1642.8,0.35,46298.77,High Resource
